Tanggal;Unit;Blok;Jenis Pupuk; Jumlah (Kg) ;HK;Metode;Latitude;Longitude
03.01.2026;KAWA;KAWA1G-21;UREA GRANULAR;3000;1;TM Pemupukan Mekanis;0.630;111.704
05.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;1800;0,62;TM Pemupukan Mekanis;0.631;111.704
05.01.2026;KAWA;KAWA1F-18;UREA GRANULAR;1200;0,38;TM Pemupukan Mekanis;0.631;111.703
05.01.2026;KAWA;KAWA1I-21;PUPUK KIESERITE GRANULAR;1400;0;TM Tabur pupuk kelapa sawit;0.631;111.703
06.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;200;0,07;TM Pemupukan Mekanis;0.631;111.702
06.01.2026;KAWA;KAWA1F-18;UREA GRANULAR;4000;0,93;TM Pemupukan Mekanis;0.631;111.702
06.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;2400;0;TM Tabur pupuk kelapa sawit;0.631;111.702
07.01.2026;KAWA;KAWA1F-18;UREA GRANULAR;1000;0,48;TM Pemupukan Mekanis;0.632;111.701
07.01.2026;KAWA;KAWA1F-17;UREA GRANULAR;1100;0,52;TM Pemupukan Mekanis;0.631;111.702
07.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;250;0;TM Tabur pupuk kelapa sawit;0.631;111.703
07.01.2026;KAWA;KAWA1I-65;PUPUK KIESERITE GRANULAR;1950;0;TM Tabur pupuk kelapa sawit;0.631;111.703
08.01.2026;KAWA;KAWA1I-20;PUPUK MURIATE OF POTASH/MOP/KCL;18;4;TM Tabur pupuk kelapa sawit;0.631;111.703
08.01.2026;KAWA;KAWA1I-20;PUPUK TRIPLE SUPERPHOSPHATE / TSP;22,5;4;TM Tabur pupuk kelapa sawit;0.631;111.703
08.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;13,5;4;TM Tabur pupuk kelapa sawit;0.631;111.703
08.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;45;4;TM Tabur pupuk kelapa sawit;0.631;111.703
08.01.2026;KAWA;KAWA1F-17;UREA GRANULAR;3000;1;TM Pemupukan Mekanis;0.631;111.703
08.01.2026;KAWA;KAWA1I-21;PUPUK KIESERITE GRANULAR;750;0;TM Tabur pupuk kelapa sawit;0.631;111.704
08.01.2026;KAWA;KAWA1I-16;PUPUK KIESERITE GRANULAR;250;0;TM Tabur pupuk kelapa sawit;0.632;111.704
10.01.2026;KAWA;KAWA1G-17;UREA GRANULAR;4000;0,66;TM Pemupukan Mekanis;0.632;111.704
10.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;800;0,21;TM Pemupukan Mekanis;0.632;111.704
10.01.2026;KAWA;KAWA1Z-17;UREA GRANULAR;600;0,13;TM Pemupukan Mekanis;0.632;111.704
12.01.2026;KAWA;KAWA1Z-17;UREA GRANULAR;2200;0,56;TM Pemupukan Mekanis;0.632;111.704
12.01.2026;KAWA;KAWA1G-16;UREA GRANULAR;1800;0,45;TM Pemupukan Mekanis;0.632;111.701
12.01.2026;KAWA;KAWA1I-16;PUPUK KIESERITE GRANULAR;600;0;TM Tabur pupuk kelapa sawit;0.633;111.704
13.01.2026;KAWA;KAWA1G-16;UREA GRANULAR;400;0,1;TM Pemupukan Mekanis;0.633;111.704
13.01.2026;KAWA;KAWA1G-15;UREA GRANULAR;3600;0,9;TM Pemupukan Mekanis;0.633;111.704
13.01.2026;KAWA;KAWA1I-20;PUPUK MURIATE OF POTASH/MOP/KCL;20;4;TM Tabur pupuk kelapa sawit;0.633;111.704
13.01.2026;KAWA;KAWA1I-20;PUPUK TRIPLE SUPERPHOSPHATE / TSP;25;4;TM Tabur pupuk kelapa sawit;0.631;111.704
13.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;15;4;TM Tabur pupuk kelapa sawit;0.631;111.701
13.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;50;4;TM Tabur pupuk kelapa sawit;0.631;111.701
13.01.2026;KAWA;KAWA1I-16;PUPUK KIESERITE GRANULAR;1150;0;TM Tabur pupuk kelapa sawit;0.631;111.701
13.01.2026;KAWA;KAWA1I-19;PUPUK KIESERITE GRANULAR;850;0;TM Tabur pupuk kelapa sawit;0.631;111.701
13.01.2026;KAWA;KAWA1I-16;PUPUK KIESERITE GRANULAR;400;0;TM Tabur pupuk kelapa sawit;0.631;111.701
14.01.2026;KAWA;KAWA1I-20;PUPUK MURIATE OF POTASH/MOP/KCL;22;4;TM Tabur pupuk kelapa sawit;0.631;111.701
14.01.2026;KAWA;KAWA1I-20;PUPUK TRIPLE SUPERPHOSPHATE / TSP;27,5;4;TM Tabur pupuk kelapa sawit;0.631;111.701
14.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;16,5;4;TM Tabur pupuk kelapa sawit;0.631;111.701
14.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;55;4;TM Tabur pupuk kelapa sawit;0.630;111.701
14.01.2026;KAWA;KAWA1I-19;PUPUK KIESERITE GRANULAR;3300;0;TM Tabur pupuk kelapa sawit;0.630;111.701
14.01.2026;KAWA;KAWA1I-16;PUPUK KIESERITE GRANULAR;200;0;TM Tabur pupuk kelapa sawit;0.679;111.748
14.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;600;0;TM Pemupukan Mekanis;0.681;111.749
15.01.2026;KAWA;KAWA1I-20;PUPUK MURIATE OF POTASH/MOP/KCL;24;4;TM Tabur pupuk kelapa sawit;0.677;111.751
15.01.2026;KAWA;KAWA1I-20;PUPUK TRIPLE SUPERPHOSPHATE / TSP;30;4;TM Tabur pupuk kelapa sawit;0.677;111.752
15.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;18;4;TM Tabur pupuk kelapa sawit;0.677;111.752
15.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;60;4;TM Tabur pupuk kelapa sawit;0.677;111.752
15.01.2026;KAWA;KAWA1D-24;PUPUK ZINC SULFATE ZNSO4;250;0;TM Tabur pupuk kelapa sawit;0.677;111.752
15.01.2026;KAWA;KAWA1E-23;PUPUK ZINC SULFATE ZNSO4;50;0;TM Tabur pupuk kelapa sawit;0.676;111.752
17.01.2026;KAWA;KAWA1I-20;PUPUK MURIATE OF POTASH/MOP/KCL;26;3;TM Tabur pupuk kelapa sawit;0.676;111.752
17.01.2026;KAWA;KAWA1I-20;PUPUK TRIPLE SUPERPHOSPHATE / TSP;32,5;3;TM Tabur pupuk kelapa sawit;0.676;111.752
17.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;19,5;3;TM Tabur pupuk kelapa sawit;0.676;111.752
17.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;65;3;TM Tabur pupuk kelapa sawit;0.676;111.752
17.01.2026;KAWA;KAWA1E-23;PUPUK ZINC SULFATE ZNSO4;300;0;TM Tabur pupuk kelapa sawit;0.681;111.749
19.01.2026;KAWA;KAWA1I-20;PUPUK MURIATE OF POTASH/MOP/KCL;26;4;TM Tabur pupuk kelapa sawit;0.676;111.752
19.01.2026;KAWA;KAWA1I-20;PUPUK TRIPLE SUPERPHOSPHATE / TSP;32,5;4;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1I-20;PUPUK KIESERITE GRANULAR;19,5;4;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;65;4;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1E-24;PUPUK ZINC SULFATE ZNSO4;300;0;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1E-21;PUPUK ZINC SULFATE ZNSO4;325;0;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1E-22;PUPUK ZINC SULFATE ZNSO4;250;0;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1H-21;UREA GRANULAR;7700;0;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1H-20;UREA GRANULAR;7400;0;TM Tabur pupuk kelapa sawit;0.675;111.752
19.01.2026;KAWA;KAWA1H-19;UREA GRANULAR;7200;0;TM Tabur pupuk kelapa sawit;0.681;111.751
19.01.2026;KAWA;KAWA1H-18;UREA GRANULAR;7700;0;TM Tabur pupuk kelapa sawit;0.680;111.749
19.01.2026;KAWA;KAWA1H-17;UREA GRANULAR;5800;0;TM Tabur pupuk kelapa sawit;0.680;111.752
19.01.2026;KAWA;KAWA1I-21;UREA GRANULAR;2900;0;TM Tabur pupuk kelapa sawit;0.680;111.752
20.01.2026;KAWA;KAWA1H-16;UREA GRANULAR;4550;0;TM Tabur pupuk kelapa sawit;0.680;111.752
20.01.2026;KAWA;KAWA1I-65;UREA GRANULAR;650;0;TM Tabur pupuk kelapa sawit;0.680;111.750
21.01.2026;KAWA;KAWA1D-24;PUPUK COPPER SULFATE CUSO4;250;0;TM Tabur pupuk kelapa sawit;0.680;111.750
21.01.2026;KAWA;KAWA1E-23;PUPUK COPPER SULFATE CUSO4;350;0;TM Tabur pupuk kelapa sawit;0.680;111.750
22.01.2026;KAWA;KAWA1E-22;PUPUK COPPER SULFATE CUSO4;250;0;TM Tabur pupuk kelapa sawit;0.679;111.750
22.01.2026;KAWA;KAWA1E-24;PUPUK COPPER SULFATE CUSO4;300;0;TM Tabur pupuk kelapa sawit;0.679;111.750
22.01.2026;KAWA;KAWA1E-21;PUPUK COPPER SULFATE CUSO4;325;0;TM Tabur pupuk kelapa sawit;0.679;111.750
22.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;200;0;TM Pemupukan Mekanis;0.678;111.750
22.01.2026;KAWA;KAWA1G-71;UREA GRANULAR;800;0;TM Pemupukan Mekanis;0.680;111.748
23.01.2026;KAWA;KAWA1H-16;UREA GRANULAR;850;0;TM Tabur pupuk kelapa sawit;0.678;111.750
23.01.2026;KAWA;KAWA1I-65;UREA GRANULAR;1550;0;TM Tabur pupuk kelapa sawit;0.679;111.750
23.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;400;0;TM Pemupukan Mekanis;0.679;111.750
24.01.2026;KAWA;KAWA1I-16;UREA GRANULAR;700;0;TM Tabur pupuk kelapa sawit;0.679;111.750
24.01.2026;KAWA;KAWA1I-65;UREA GRANULAR;1700;0;TM Tabur pupuk kelapa sawit;0.680;111.750
24.01.2026;KAWA;KAWA1G-18;UREA GRANULAR;1200;0;TM Pemupukan Mekanis;0.680;111.750
24.01.2026;KAWA;KAWA1G-71;UREA GRANULAR;600;0;TM Pemupukan Mekanis;0.680;111.750
24.01.2026;KAWA;KAWA1H-16;UREA GRANULAR;3700;0;TM Tabur pupuk kelapa sawit;0.680;111.749
24.01.2026;KAWA;KAWA1I-20;UREA GRANULAR;3900;0;TM Tabur pupuk kelapa sawit;0.681;111.749
24.01.2026;KAWA;KAWA1I-19;UREA GRANULAR;6200;0;TM Tabur pupuk kelapa sawit;0.681;111.749
24.01.2026;KAWA;KAWA1I-21;PUPUK ROCK PHOSPHATE/RP;1450;0;TM Tabur pupuk kelapa sawit;0.680;111.748
24.01.2026;KAWA;KAWA1I-20;PUPUK ROCK PHOSPHATE/RP;1300;0;TM Tabur pupuk kelapa sawit;0.681;111.749
24.01.2026;KAWA;KAWA1I-19;PUPUK ROCK PHOSPHATE/RP;2100;0;TM Tabur pupuk kelapa sawit;0.681;111.749
26.01.2026;KAWA;KAWA1H-16;PUPUK KIESERITE GRANULAR;3400;0;TM Tabur pupuk kelapa sawit;0.682;111.749
26.01.2026;KAWA;KAWA1I-16;UREA GRANULAR;1400;0;TM Tabur pupuk kelapa sawit;0.682;111.748
26.01.2026;KAWA;KAWA1G-18;PUPUK ROCK PHOSPHATE/RP;3000;0;TM Pemupukan Mekanis;0.682;111.748
26.01.2026;KAWA;KAWA1G-71;UREA GRANULAR;200;0;TM Pemupukan Mekanis;0.682;111.748
27.01.2026;KAWA;KAWA1I-21;PUPUK COPPER SULFATE CUSO4;150;0;TM Tabur pupuk kelapa sawit;0.682;111.748
27.01.2026;KAWA;KAWA1I-20;PUPUK COPPER SULFATE CUSO4;150;0;TM Tabur pupuk kelapa sawit;0.682;111.749
27.01.2026;KAWA;KAWA1I-19;PUPUK COPPER SULFATE CUSO4;225;0;TM Tabur pupuk kelapa sawit;0.682;111.749
27.01.2026;KAWA;KAWA1I-16;PUPUK COPPER SULFATE CUSO4;150;0;TM Tabur pupuk kelapa sawit;0.682;111.749
27.01.2026;KAWA;KAWA1G-18;PUPUK MURIATE OF POTASH/MOP/KCL;3050;0;TM Pemupukan Mekanis;0.680;111.748
27.01.2026;KAWA;KAWA1G-18;PUPUK ROCK PHOSPHATE/RP;2950;0;TM Pemupukan Mekanis;0.682;111.749
27.01.2026;KAWA;KAWA1I-16;PUPUK ROCK PHOSPHATE/RP;1150;0;TM Tabur pupuk kelapa sawit;0.682;111.750
27.01.2026;KAWA;KAWA1H-21;PUPUK ROCK PHOSPHATE/RP;1900;0;TM Tabur pupuk kelapa sawit;0.682;111.750
27.01.2026;KAWA;KAWA1H-20;PUPUK ROCK PHOSPHATE/RP;1850;0;TM Tabur pupuk kelapa sawit;0.682;111.750
27.01.2026;KAWA;KAWA1H-19;PUPUK ROCK PHOSPHATE/RP;1800;0;TM Tabur pupuk kelapa sawit;0.681;111.750
27.01.2026;KAWA;KAWA1H-18;PUPUK ROCK PHOSPHATE/RP;450;0;TM Tabur pupuk kelapa sawit;0.681;111.750
28.01.2026;KAWA;KAWA1I-20;PUPUK ZINC SULFATE ZNSO4;150;0;TM Tabur pupuk kelapa sawit;0.681;111.751
28.01.2026;KAWA;KAWA1I-21;PUPUK ZINC SULFATE ZNSO4;150;0;TM Tabur pupuk kelapa sawit;0.681;111.751
28.01.2026;KAWA;KAWA1I-19;PUPUK ZINC SULFATE ZNSO4;200;0;TM Tabur pupuk kelapa sawit;0.681;111.751
28.01.2026;KAWA;KAWA1G-17;PUPUK TRIPLE SUPERPHOSPHATE / TSP;3900;0;TM Pemupukan Mekanis;0.680;111.751
29.01.2026;KAWA;KAWA1I-19;PUPUK ZINC SULFATE ZNSO4;25;0;TM Tabur pupuk kelapa sawit;0.680;111.748
29.01.2026;KAWA;KAWA1I-16;PUPUK ZINC SULFATE ZNSO4;175;0;TM Tabur pupuk kelapa sawit;0.680;111.751
29.01.2026;KAWA;KAWA1H-16;PUPUK ZINC SULFATE ZNSO4;225;0;TM Tabur pupuk kelapa sawit;0.680;111.751
29.01.2026;KAWA;KAWA1H-17;PUPUK ZINC SULFATE ZNSO4;175;0;TM Tabur pupuk kelapa sawit;0.679;111.751
29.01.2026;KAWA;KAWA1I-65;PUPUK ZINC SULFATE ZNSO4;100;0;TM Tabur pupuk kelapa sawit;0.679;111.751
29.01.2026;KAWA;KAWA1G-17;PUPUK TRIPLE SUPERPHOSPHATE / TSP;3000;0;TM Pemupukan Mekanis;0.679;111.751
29.01.2026;KAWA;KAWA1F-20;UREA GRANULAR;4200;0;TM Tabur pupuk kelapa sawit;0.679;111.751
30.01.2026;KAWA;KAWA1H-21;PUPUK ZINC SULFATE ZNSO4;200;0;TM Tabur pupuk kelapa sawit;0.678;111.751
30.01.2026;KAWA;KAWA1H-20;PUPUK ZINC SULFATE ZNSO4;200;0;TM Tabur pupuk kelapa sawit;0.678;111.751
30.01.2026;KAWA;KAWA1H-19;PUPUK ZINC SULFATE ZNSO4;50;0;TM Tabur pupuk kelapa sawit;0.678;111.751
30.01.2026;KAWA;KAWA1F-17;PUPUK TRIPLE SUPERPHOSPHATE / TSP;900;0;TM Pemupukan Mekanis;0.677;111.751
30.01.2026;KAWA;KAWA1H-17;PUPUK ZINC SULFATE ZNSO4;25;0;TM Tabur pupuk kelapa sawit;0.681;111.748
30.01.2026;KAWA;KAWA1H-19;PUPUK ZINC SULFATE ZNSO4;25;0;TM Tabur pupuk kelapa sawit;0.677;111.751
31.01.2026;KAWA;KAWA1H-19;PUPUK ZINC SULFATE ZNSO4;125;0;TM Tabur pupuk kelapa sawit;0.677;111.751
31.01.2026;KAWA;KAWA1H-18;PUPUK ZINC SULFATE ZNSO4;200;0;TM Tabur pupuk kelapa sawit;0.677;111.751
03.01.2026;KAWE;KAWE2F-23;PUPUK MURIATE OF POTASH/MOP/KCL;2400;0;TM Tabur pupuk kelapa sawit;0.676;111.751
05.01.2026;KAWE;KAWE2F-23;PUPUK MURIATE OF POTASH/MOP/KCL;2400;0;TM Tabur pupuk kelapa sawit;0.676;111.751
06.01.2026;KAWE;KAWE2F-23;PUPUK MURIATE OF POTASH/MOP/KCL;850;0;TM Tabur pupuk kelapa sawit;0.676;111.751
06.01.2026;KAWE;KAWE2F-24;PUPUK MURIATE OF POTASH/MOP/KCL;2350;0;TM Tabur pupuk kelapa sawit;0.676;111.751
07.01.2026;KAWE;KAWE2F-23;PUPUK ROCK PHOSPHATE/RP;2800;0;TM Tabur pupuk kelapa sawit;0.676;111.751
08.01.2026;KAWE;KAWE2F-23;PUPUK ROCK PHOSPHATE/RP;400;0;TM Tabur pupuk kelapa sawit;0.676;111.751
08.01.2026;KAWE;KAWE2F-24;PUPUK MURIATE OF POTASH/MOP/KCL;2000;0;TM Tabur pupuk kelapa sawit;0.676;111.751
09.01.2026;KAWE;KAWE2F-24;PUPUK ROCK PHOSPHATE/RP;2000;0;TM Tabur pupuk kelapa sawit;0.681;111.748
10.01.2026;KAWE;KAWE2F-75;PUPUK ROCK PHOSPHATE/RP;400;0;TM Tabur pupuk kelapa sawit;0.676;111.751
10.01.2026;KAWE;KAWE2F-75;PUPUK ROCK PHOSPHATE/RP;1600;0;TM Tabur pupuk kelapa sawit;0.677;111.751
12.01.2026;KAWE;KAWE2F-23;PUPUK ROCK PHOSPHATE/RP;450;0;TM Tabur pupuk kelapa sawit;0.677;111.751
12.01.2026;KAWE;KAWE2F-24;PUPUK ROCK PHOSPHATE/RP;1250;0;TM Tabur pupuk kelapa sawit;0.677;111.751
12.01.2026;KAWE;KAWE2F-75;PUPUK ROCK PHOSPHATE/RP;2400;0;TM Tabur pupuk kelapa sawit;0.677;111.751
12.01.2026;KAWE;KAWE3H-24;PUPUK ROCK PHOSPHATE/RP;3200;9;TM Tabur pupuk kelapa sawit;0.678;111.751
12.01.2026;KAWE;KAWE3H-24;PUPUK ROCK PHOSPHATE/RP;1750;0;TM Tabur pupuk kelapa sawit;0.678;111.751
12.01.2026;KAWE;KAWE3H-25;PUPUK ROCK PHOSPHATE/RP;2650;0;TM Tabur pupuk kelapa sawit;0.678;111.751
13.01.2026;KAWE;KAWE2F-26;PUPUK ROCK PHOSPHATE/RP;3750;0;TM Tabur pupuk kelapa sawit;0.679;111.751
13.01.2026;KAWE;KAWE4H-31;PUPUK MURIATE OF POTASH/MOP/KCL;3200;8;TM Tabur pupuk kelapa sawit;0.679;111.751
13.01.2026;KAWE;KAWE4H-31;PUPUK MURIATE OF POTASH/MOP/KCL;800;0;TM Tabur pupuk kelapa sawit;0.681;111.748
13.01.2026;KAWE;KAWE3H-26;PUPUK ROCK PHOSPHATE/RP;3600;9;TM Tabur pupuk kelapa sawit;0.679;111.751
14.01.2026;KAWE;KAWE2F-75;PUPUK ROCK PHOSPHATE/RP;250;0;TM Tabur pupuk kelapa sawit;0.679;111.751
14.01.2026;KAWE;KAWE2F-27;PUPUK ROCK PHOSPHATE/RP;2600;0;TM Tabur pupuk kelapa sawit;0.680;111.751
14.01.2026;KAWE;KAWE4H-32;PUPUK MURIATE OF POTASH/MOP/KCL;1700;5,18;TM Tabur pupuk kelapa sawit;0.680;111.751
14.01.2026;KAWE;KAWE4H-31;PUPUK MURIATE OF POTASH/MOP/KCL;1100;4,07;TM Tabur pupuk kelapa sawit;0.681;111.751
14.01.2026;KAWE;KAWE4H-32;PUPUK MURIATE OF POTASH/MOP/KCL;800;0;TM Tabur pupuk kelapa sawit;0.681;111.751
14.01.2026;KAWE;KAWE3H-25;PUPUK ROCK PHOSPHATE/RP;1250;5;TM Tabur pupuk kelapa sawit;0.678;111.752
14.01.2026;KAWE;KAWE3H-26;PUPUK ROCK PHOSPHATE/RP;1100;3;TM Tabur pupuk kelapa sawit;0.678;111.752
14.01.2026;KAWE;KAWE3H-27;PUPUK ROCK PHOSPHATE/RP;250;1;TM Tabur pupuk kelapa sawit;0.678;111.752
15.01.2026;KAWE;KAWE2F-28;PUPUK ROCK PHOSPHATE/RP;2800;0;TM Tabur pupuk kelapa sawit;0.678;111.752
15.01.2026;KAWE;KAWE2F-99;PUPUK ROCK PHOSPHATE/RP;1200;0;TM Tabur pupuk kelapa sawit;0.681;111.749
15.01.2026;KAWE;KAWE3H-27;PUPUK ROCK PHOSPHATE/RP;3900;9;TM Tabur pupuk kelapa sawit;0.678;111.752
15.01.2026;KAWE;KAWE3H-28;PUPUK ROCK PHOSPHATE/RP;900;0;TM Tabur pupuk kelapa sawit;0.678;111.752
15.01.2026;KAWE;KAWE4H-32;PUPUK MURIATE OF POTASH/MOP/KCL;1700;5,05;TM Tabur pupuk kelapa sawit;0.678;111.752
15.01.2026;KAWE;KAWE4H-83;PUPUK MURIATE OF POTASH/MOP/KCL;700;2,41;TM Tabur pupuk kelapa sawit;0.677;111.752
15.01.2026;KAWE;KAWE4H-32;PUPUK MURIATE OF POTASH/MOP/KCL;800;0;TM Tabur pupuk kelapa sawit;0.677;111.752
17.01.2026;KAWE;KAWE2F-75;PUPUK MURIATE OF POTASH/MOP/KCL;1200;3;TM Tabur pupuk kelapa sawit;0.678;111.753
17.01.2026;KAWE;KAWE2F-75;PUPUK MURIATE OF POTASH/MOP/KCL;2400;0;TM Tabur pupuk kelapa sawit;0.677;111.752
17.01.2026;KAWE;KAWE4H-83;PUPUK MURIATE OF POTASH/MOP/KCL;2000;5;TM Tabur pupuk kelapa sawit;0.677;111.752
17.01.2026;KAWE;KAWE4H-83;PUPUK MURIATE OF POTASH/MOP/KCL;800;0;TM Tabur pupuk kelapa sawit;0.677;111.752
17.01.2026;KAWE;KAWE3H-28;PUPUK ROCK PHOSPHATE/RP;1600;4;TM Tabur pupuk kelapa sawit;0.677;111.752
17.01.2026;KAWE;KAWE3H-29;PUPUK ROCK PHOSPHATE/RP;2400;0;TM Tabur pupuk kelapa sawit;0.664;111.737
19.01.2026;KAWE;KAWE2F-75;PUPUK MURIATE OF POTASH/MOP/KCL;1200;3;TM Tabur pupuk kelapa sawit;0.662;111.739
19.01.2026;KAWE;KAWE2F-75;PUPUK MURIATE OF POTASH/MOP/KCL;1650;0;TM Tabur pupuk kelapa sawit;0.662;111.739
19.01.2026;KAWE;KAWE2G-22;PUPUK ROCK PHOSPHATE/RP;1950;0;TM Tabur pupuk kelapa sawit;0.662;111.739
19.01.2026;KAWE;KAWE4H-83;PUPUK MURIATE OF POTASH/MOP/KCL;2000;5;TM Tabur pupuk kelapa sawit;0.661;111.739
19.01.2026;KAWE;KAWE4H-83;PUPUK MURIATE OF POTASH/MOP/KCL;800;0;TM Tabur pupuk kelapa sawit;0.661;111.739
19.01.2026;KAWE;KAWE3H-29;PUPUK ROCK PHOSPHATE/RP;1450;4;TM Tabur pupuk kelapa sawit;0.661;111.739
19.01.2026;KAWE;KAWE3H-28;PUPUK ROCK PHOSPHATE/RP;1350;4;TM Tabur pupuk kelapa sawit;0.659;111.739
19.01.2026;KAWE;KAWE3H-30;PUPUK ROCK PHOSPHATE/RP;1950;0;TM Tabur pupuk kelapa sawit;0.659;111.739
19.01.2026;KAWE;KAWE3H-29;PUPUK ROCK PHOSPHATE/RP;1350;0;TM Tabur pupuk kelapa sawit;0.658;111.739
20.01.2026;KAWE;KAWE4H-85;PUPUK MURIATE OF POTASH/MOP/KCL;2800;8;TM Tabur pupuk kelapa sawit;0.658;111.739
20.01.2026;KAWE;KAWE4H-85;PUPUK MURIATE OF POTASH/MOP/KCL;1200;0;TM Tabur pupuk kelapa sawit;0.664;111.737
20.01.2026;KAWE;KAWE2G-22;PUPUK HGFB;300;0;TM Tabur pupuk kelapa sawit;0.658;111.739
20.01.2026;KAWE;KAWE2G-23;PUPUK HGFB;200;0;TM Tabur pupuk kelapa sawit;0.658;111.739
20.01.2026;KAWE;KAWE2G-24;PUPUK ZINC SULFATE ZNSO4;50;0;TM Tabur pupuk kelapa sawit;0.657;111.739
20.01.2026;KAWE;KAWE3H-72;PUPUK HGFB;274,8;6;TM Tabur pupuk kelapa sawit;0.657;111.739
20.01.2026;KAWE;KAWE3H-73;PUPUK HGFB;45,2;3;TM Tabur pupuk kelapa sawit;0.657;111.739
20.01.2026;KAWE;KAWE3H-73;PUPUK HGFB;243,775;0;TM Tabur pupuk kelapa sawit;0.656;111.739
20.01.2026;KAWE;KAWE3H-24;PUPUK HGFB;286,225;0;TM Tabur pupuk kelapa sawit;0.656;111.739
21.01.2026;KAWE;KAWE3H-25;PUPUK HGFB;233,475;5;TM Tabur pupuk kelapa sawit;0.656;111.739
21.01.2026;KAWE;KAWE3H-26;PUPUK HGFB;236,025;5;TM Tabur pupuk kelapa sawit;0.656;111.738
21.01.2026;KAWE;KAWE3H-27;PUPUK HGFB;207,675;0;TM Tabur pupuk kelapa sawit;0.655;111.738
21.01.2026;KAWE;KAWE3H-28;PUPUK HGFB;243,225;0;TM Tabur pupuk kelapa sawit;0.664;111.737
21.01.2026;KAWE;KAWE3H-29;PUPUK HGFB;229,6;0;TM Tabur pupuk kelapa sawit;0.655;111.738
21.01.2026;KAWE;KAWE4H-85;PUPUK MURIATE OF POTASH/MOP/KCL;2800;7;TM Tabur pupuk kelapa sawit;0.656;111.737
21.01.2026;KAWE;KAWE4H-85;PUPUK MURIATE OF POTASH/MOP/KCL;800;0;TM Tabur pupuk kelapa sawit;0.656;111.737
21.01.2026;KAWE;KAWE1A-31;PUPUK MURIATE OF POTASH/MOP/KCL;1600;4;TM Tabur pupuk kelapa sawit;0.656;111.737
21.01.2026;KAWE;KAWE1B-83;PUPUK MURIATE OF POTASH/MOP/KCL;2200;0;TM Tabur pupuk kelapa sawit;0.656;111.737
21.01.2026;KAWE;KAWE1B-83;PUPUK ROCK PHOSPHATE/RP;800;0;TM Tabur pupuk kelapa sawit;0.657;111.737
21.01.2026;KAWE;KAWE1A-31;PUPUK ROCK PHOSPHATE/RP;200;0;TM Tabur pupuk kelapa sawit;0.657;111.737
22.01.2026;KAWE;KAWE1B-83;PUPUK MURIATE OF POTASH/MOP/KCL;3250;0;TM Tabur pupuk kelapa sawit;0.657;111.737
22.01.2026;KAWE;KAWE1B-34;PUPUK MURIATE OF POTASH/MOP/KCL;1550;0;TM Tabur pupuk kelapa sawit;0.658;111.737
22.01.2026;KAWE;KAWE4H-31;PUPUK HGFB;250;6,19;TM Tabur pupuk kelapa sawit;0.658;111.737
22.01.2026;KAWE;KAWE4H-83;PUPUK HGFB;100;2,45;TM Tabur pupuk kelapa sawit;0.664;111.737
22.01.2026;KAWE;KAWE4H-32;PUPUK HGFB;50;1,18;TM Tabur pupuk kelapa sawit;0.658;111.737
22.01.2026;KAWE;KAWE4H-32;PUPUK HGFB;150;0;TM Tabur pupuk kelapa sawit;0.658;111.737
22.01.2026;KAWE;KAWE3I-30;PUPUK ROCK PHOSPHATE/RP;1950;5;TM Tabur pupuk kelapa sawit;0.659;111.737
22.01.2026;KAWE;KAWE3I-29;PUPUK ROCK PHOSPHATE/RP;1200;5;TM Tabur pupuk kelapa sawit;0.659;111.737
22.01.2026;KAWE;KAWE3I-29;PUPUK ROCK PHOSPHATE/RP;2400;0;TM Tabur pupuk kelapa sawit;0.659;111.737
22.01.2026;KAWE;KAWE3I-28;PUPUK ROCK PHOSPHATE/RP;3650;0;TM Tabur pupuk kelapa sawit;0.660;111.737
